TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000723	"telomere maintenance"	NaN	1.9867717342662448	0.46345466834025295	0.8314685360225544	0.38281143	null
GO:0032200	"telomere organization"	32200	NaN	2.012837224705172	0.4924205851115188	0.9147258836947578	0.69621026	723
GO:0003013	"circulatory system process"	NaN	2.6720978579357175	2.2641691609539443	0.9845575907287802	0.32454764	null
GO:0003016	"respiratory system process"	NaN	1.568201724066995	0.17379550062759488	0.9879863950829784	0.09737517	null
GO:0005975	"carbohydrate metabolic process"	NaN	2.6127838567197355	1.9745099932412862	0.9357156883679443	0.19203775	null
GO:0005976	"polysaccharide metabolic process"	NaN	1.8864907251724818	0.3669016124360336	0.9292782011482356	0.15958557	null
GO:0000272	"polysaccharide catabolic process"	272	NaN	1.3010299956639813	0.0917254031090084	0.9197168873376971	0.61059613	5976
GO:0005977	"glycogen metabolic process"	5977	NaN	1.7634279935629373	0.2751762093270252	0.8999217501294076	0.86693756	5976
GO:0005980	"glycogen catabolic process"	5980	NaN	1.2041199826559248	0.07241479192816452	0.8972163823942595	0.88789874	5976
GO:0009251	"glucan catabolic process"	9251	NaN	1.2304489213782739	0.07724244472337549	0.9199808562079709	0.97075191	5976
GO:0016052	"carbohydrate catabolic process"	16052	NaN	2.041392685158225	0.5262141546779955	0.9173036747482927	0.7088597	5976
GO:0044042	"glucan metabolic process"	44042	NaN	1.7853298350107671	0.2896591677126581	0.926740813071987	0.951854	5976
GO:0006091	"generation of precursor metabolites and energy"	NaN	2.5646660642520893	1.7669209230472143	0.922817095599363	0.17144508	null
GO:0006101	"citrate metabolic process"	NaN	0.8450980400142568	0.02896591677126581	0.9289149674803839	0.11557754	null
GO:0006403	"RNA localization"	NaN	2.230448921378274	0.8158733223906537	0.9135941000616593	0.38996319	null
GO:0006450	"regulation of translational fidelity"	NaN	1.2787536009528289	0.08689775031379744	0.9458178728183472	0.0340802	null
GO:0006457	"protein folding"	NaN	2.255272505103306	0.8641498503427634	0.9022688139401058	0.35613906	null
GO:0022417	"protein maturation by protein folding"	22417	NaN	0.8450980400142568	0.02896591677126581	0.9276885022298744	0.58125189	6457
GO:0006470	"protein dephosphorylation"	NaN	1.662757831681574	0.21724437578449357	0.903472135423099	0.46521169	null
GO:0035335	"peptidyl-tyrosine dephosphorylation"	35335	NaN	1.2304489213782739	0.07724244472337549	0.9117614885278371	0.71732248	6470
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.9010720694842427	0.31915747	null
GO:0001732	"formation of cytoplasmic translation initiation complex"	1732	NaN	1.2304489213782739	0.07724244472337549	0.8286262135653358	0.82645473	6518
GO:0002181	"cytoplasmic translation"	2181	NaN	2.12057393120585	0.6324225161726369	0.8780317120908263	0.84971298	6518
GO:0002183	"cytoplasmic translational initiation"	2183	NaN	1.568201724066995	0.17379550062759488	0.890939518821726	0.62190298	6518
GO:0006412	"translation"	6412	NaN	2.5888317255942073	1.868301631746645	0.8637080450209753	0.81615439	6518
GO:0006413	"translational initiation"	6413	NaN	1.8864907251724818	0.3669016124360336	0.8842662665780339	0.67224345	6518
GO:0032543	"mitochondrial translation"	32543	NaN	2.0453229787866576	0.5310418074732065	0.8801053361030334	0.83360801	6518
GO:0043043	"peptide biosynthetic process"	43043	NaN	2.6148972160331345	1.9841652988317078	0.8694029851571984	0.90734276	6518
GO:0043604	"amide biosynthetic process"	43604	NaN	2.720159303405957	2.5296900646905476	0.8752451358625868	0.85003657	6518
GO:0140236	"translation at presynapse"	140236	NaN	1.6812412373755872	0.2268996813749155	0.8879775642706307	0.63897707	6518
GO:0140241	"translation at synapse"	140241	NaN	1.6901960800285136	0.23172733417012648	0.889046719179547	0.64262085	6518
GO:0140242	"translation at postsynapse"	140242	NaN	1.6901960800285136	0.23172733417012648	0.8877682693724513	0.99595477	6518
